node	degree
9450	1
57498	12
55055	3
375449	1
496	2
963	15
2258	6
149986	1
2592	5
8473	47
7148	3
1634	30
431707	4
4815	4
900	19
89853	1
4595	8
132851	1
389123	1
284119	7
221895	1
79174	5
1187	2
4258	2
132321	2
56255	2
10521	169
165100	1
3778	12
5104	22
8811	2
23264	3
8872	1
5293	20
51309	3
7267	7
5460	10
57337	1
126382	4
10307	6
27178	7
196483	1
8927	6
8834	6
245711	7
1316	10
284004	11
81542	2
126626	15
5719	59
51334	1
79841	3
64949	79
2909	10
1952	6
826	16
23555	4
1442	9
23331	3
8729	10
165918	13
27156	13
10126	7
27230	8
2180	9
1136	2
6506	5
3196	9
9368	60
2903	31
51231	6
1103	9
167465	2
7871	13
84376	1
30846	9
23417	16
2990	13
4712	56
2628	3
3298	11
94025	2
9423	6
100272147	1
23034	4
2304	1
51124	6
10253	88
84634	4
55824	17
80013	2
64122	1
440193	3
94233	1
8030	4
132884	2
9411	7
9961	9
6272	10
10494	28
3642	10
57626	2
23067	7
27086	8
8543	54
8614	14
285205	4
5162	21
1687	2
3821	7
832	23
55437	6
285855	2
51373	78
11282	5
84311	80
27097	34
2188	19
5355	13
55346	1
144715	7
146439	1
337974	5
57017	2
54908	12
4324	2
147495	1
245812	2
114798	2
6793	4
2660	4
3241	15
9555	11
9892	7
6629	191
1495	44
10256	21
5122	6
6274	3
23588	5
913	1
87171	1
10856	213
64342	1
3418	11
84296	3
7850	4
100101629	1
5909	26
3601	6
6334	4
3487	6
55651	6
51559	1
29115	14
391104	3
64285	1
11284	25
170384	2
972	15
337972	12
11198	89
375686	3
3485	7
23533	10
26502	1
9311	12
27153	2
479	1
6445	7
29998	7
3816	4
23418	8
79024	1
7114	36
65991	13
1756	32
9902	1
3400	10
51594	1
60487	4
29920	11
10461	9
4548	10
6291	3
3619	10
54785	4
80725	3
3074	15
4728	55
10813	41
10885	2
284677	1
6836	7
10928	44
26260	2
116143	3
43	18
438	23
715	11
1062	10
84256	2
10121	10
51631	159
8372	1
4924	14
23223	5
541468	18
85457	2
3209	6
4014	15
168544	3
2495	28
2928	1
221421	2
26236	1
1979	1
162966	1
50619	18
57594	30
6503	15
727800	3
388372	8
23380	15
1965	27
23204	66
7574	6
51676	5
7384	80
55130	1
56704	3
9559	6
7130	3
27043	136
135	12
521	21
59286	6
64127	7
56888	2
147686	2
117159	19
1810	6
1793	19
55554	3
124801	4
56242	1
51686	11
10319	2
390226	3
10204	15
3486	30
51010	17
196074	1
3831	25
57176	15
6944	43
91289	4
2002	50
1994	130
26001	12
538	5
3552	12
4686	157
1010	3
1179	4
5099	1
56919	1
23203	4
113451	4
9833	15
3737	22
10963	31
5756	3
4107	8
522	26
3803	4
23382	10
22891	3
27145	2
7201	5
79016	46
4919	2
373	188
55795	5
10538	16
284307	1
23471	7
6193	190
6502	54
8444	4
51706	3
159163	18
5763	8
5034	40
8787	4
79754	7
51554	10
112399	10
81027	147
7918	9
7137	31
55629	20
151636	19
7003	18
192111	13
79033	1
25827	2
3804	6
6137	253
90288	1
9927	1
220885	2
3225	17
4241	7
64072	2
16	4
10153	15
1286	14
549	27
4606	3
136319	14
23235	11
7188	39
4908	5
11103	89
53826	24
58488	1
5074	16
8825	21
999	105
388697	65
6484	18
4005	91
7431	258
4236	165
100507436	3
3070	5
3191	133
63915	20
63904	2
57447	6
9204	3
579	10
51451	3
28513	1
4502	15
268	3
26289	14
3841	11
55512	12
51157	6
54965	1
644903	3
137886	7
8521	8
8894	23
5747	164
220108	27
23234	12
51341	15
1880	1
22978	42
11152	3
9966	2
10148	6
81839	5
54989	1
64375	18
51101	3
8538	1
11230	6
57062	34
51339	4
80705	40
129868	7
9991	1
28985	5
283638	2
5209	13
1041	6
57698	11
5175	30
80350	1
6210	258
55276	12
84951	3
123887	3
340205	4
6877	32
8818	11
149371	27
4306	14
84461	3
84154	4
55531	1
285172	2
200185	4
55749	19
6231	90
896	41
923	4
8882	5
1825	4
169026	1
3447	1
10332	8
7353	27
55920	13
9874	12
57109	2
51	31
114902	4
9730	6
3645	2
4211	33
4481	7
81629	21
26999	20
9499	8
8503	44
339175	2
27158	8
6879	48
